1;American Pie (1999);Comedy|Romance
2;Austin Powers: International Man of Mystery (1997);Action|Adventure|Comedy
3;Pretty Woman (1990);Comedy|Romance
4;Rear Window (1954);Mystery|Thriller
5;Gone with the Wind (1939);Drama|Romance|War
6;2001: A Space Odyssey (1968);Adventure|Drama|Sci-Fi
7;Dirty Dancing (1987);Drama|Musical|Romance
8;E.T. the Extra-Terrestrial (1982);Children|Drama|Sci-Fi
9;Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981);Action|Adventure
10;Alien (1979);Horror|Sci-Fi
11;Annie Hall (1977);Comedy|Romance
12;Shining, The (1980);Horror
13;Great Dictator, The (1940);Comedy|Drama|War
14;Grease (1978);Comedy|Musical|Romance
15;Jaws (1975);Action|Horror
16;Fifth Element, The (1997);Action|Adventure|Comedy|Sci-Fi
17;Titanic (1997);Drama|Romance
18;West Side Story (1961);Drama|Musical|Romance
19;Psycho (1998);Crime|Horror|Thriller
20;Thin Red Line, The (1998);Action|Drama|War
21;Peeping Tom (1960);Drama|Horror|Thriller
22;Matrix, The (1999);Action|Sci-Fi|Thriller
23;Notting Hill (1999);Comedy|Romance
24;Fight Club (1999);Action|Crime|Drama|Thriller
25;Cabaret (1972);Drama|Musical
26;Chocolat (2000);Drama|Romance
27;Memento (2000);Mystery|Thriller
28;Shrek (2001);Adventure|Animation|Children|Comedy|Fantasy|Romance
29;Pearl Harbor (2001);Action|Drama|Romance|War
30;Monsters, Inc. (2001);Adventure|Animation|Children|Comedy|Fantasy
31;Lord of the Rings: The Fellowship of the Ring, The (2001);Adventure|Fantasy
32;Beautiful Mind, A (2001);Drama|Romance
33;Black Hawk Down (2001);Action|Drama|War
34;Ice Age (2002);Adventure|Animation|Children|Comedy
35;Harry Potter and the Chamber of Secrets (2002);Adventure|Fantasy
36;Pianist, The (2002);Drama|War
37;Finding Nemo (2003);Adventure|Animation|Children|Comedy
38;Pirates of the Caribbean: The Curse of the Black Pearl (2003);Action|Adventure|Comedy|Fantasy
39;Kill Bill: Vol. 1 (2003);Action|Crime|Thriller
40;Father of the Bride (1991);Comedy
41;Eternal Sunshine of the Spotless Mind (2004);Drama|Romance|Sci-Fi
42;Notebook, The (2004);Drama|Romance
43;Village, The (2004);Drama|Mystery|Thriller
44;Incredibles, The (2004);Action|Adventure|Animation|Children|Comedy
45;It (1990);Drama|Fantasy|Horror|Mystery|Thriller
46;Da Vinci Code, The (2006);Drama|Mystery|Thriller
47;Cars (2006);Animation|Children|Comedy
48;Devil Wears Prada, The (2006);Comedy|Drama
49;Transformers (2007);Action|Sci-Fi|Thriller|IMAX
50;Juno (2007);Comedy|Drama|Romance
51;Dark Knight, The (2008);Action|Crime|Drama|IMAX
52;Twilight (2008);Drama|Fantasy|Romance|Thriller
53;Gran Torino (2008);Crime|Drama
54;Avatar (2009);Action|Adventure|Sci-Fi|IMAX
55;Help, The (2011);Drama
56;Perks of Being a Wallflower, The (2012);Drama|Romance
57;Interstellar (2014);Sci-Fi|IMAX
58;Kingsman: The Secret Service (2015);Action|Adventure|Comedy|Crime
59;Star Wars: Episode VII - The Force Awakens (2015);Action|Adventure|Fantasy|Sci-Fi|IMAX
60;The Martian (2015);Adventure|Drama|Sci-Fi
61;The Conjuring 2 (2016);Horror
62;Blade Runner (1982);Action|Sci-Fi|Thriller
63;Home Alone (1990);Children|Comedy
64;Trainspotting (1996);Comedy|Crime|Drama
65;Godfather, The (1972);Crime|Drama
66;Braveheart (1995);Action|Drama|War
67;Shawshank Redemption, The (1994);Crime|Drama
68;Ace Ventura: Pet Detective (1994);Comedy
69;Lion King, The (1994);Adventure|Animation|Children|Drama|Musical|IMAX
70;Singin' in the Rain (1952);Comedy|Musical|Romance
71;Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy
